    ,Ngày đăng bài,Tên,Giá,Năm SX,Nhiên liệu,Kiểu dáng,Tình trạng,Km đã đi,Hộp số,Xuất xứ,Tỉnh thành
1103,05/10/2025,Ford EcoSport Titanium 2016,320 triệu,2016,Máy xăng,SUV,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Tp.HCM
1104,03/10/2025,Acura CDX 2010,158 triệu,2010,Máy xăng,Sedan,Xe cũ,170.000 km,Số tự động,Nhập khẩu,Hà Nội
1105,01/10/2025,Toyota Corolla Cross 1.8 V 2021,660 triệu,2021,Máy xăng,Crossover,Xe cũ,40.000 km,Số tự động,Nhập khẩu,Bà Rịa Vũng Tàu
1106,04/10/2025,Toyota Innova 2.0E 2017,390 triệu,2017,Máy xăng,MPV,Xe cũ,165.902 km,Số tự động,Nhập khẩu,Tp.HCM
1107,27/09/2025,Kia Seltos 1.6 Premium 2020,559 triệu,2020,Máy xăng,Crossover,Xe cũ,38.632 km,Số tự động,Nhập khẩu,Tp.HCM
1108,28/09/2025,Suzuki Swift 1.4 AT 2016,300 triệu,2016,Máy xăng,Hatchback,Xe cũ,50.000 km,Số tự động,Trong nước,Hà Nội
1109,01/10/2025,Kia Sedona 2.2 DAT 2017,539 triệu,2017,Máy dầu,MPV,Xe cũ,90.000 km,Số tự động,Trong nước,Đà Nẵng
1110,03/10/2025,Honda City 1.5 L 2022,420 triệu,2022,Máy xăng,Sedan,Xe cũ,32.000 km,Số tự động,Trong nước,Tp.HCM
1111,04/10/2025,Toyota Innova 2.0V 2010,260 triệu,2010,Máy xăng,MPV,Xe cũ,30.000 km,Số sàn,Trong nước,Hà Nội
1112,28/09/2025,Hyundai Grand i10 2014,115 triệu,2014,Máy xăng,Hatchback,Xe cũ,319.000 km,Số sàn,Nhập khẩu,Đông Anh - Hà Nội
1113,05/10/2025,VinFast Fadil Tiêu Chuẩn 2020,270 triệu,2020,Máy xăng,Hatchback,Xe cũ,115.000 km,Số tự động,Trong nước,Cần Thơ
1114,06/10/2025,Toyota Camry 2.5Q 2017,630 triệu,2017,Máy xăng,Sedan,Xe cũ,74.000 km,Số tự động,Trong nước,Tp.HCM
1115,02/10/2025,Suzuki Celerio 1.0 MT 2019,220 triệu,2019,Máy xăng,Hatchback,Xe cũ,58.000 km,Số sàn,Nhập khẩu,Bình Dương
1116,29/09/2025,Ford Everest XLT 4x2 MT 2008,220 triệu,2008,Máy xăng,SUV,Xe cũ,224.000 km,Số sàn,Trong nước,Đồng Nai
1117,03/10/2025,Honda Jazz VX 2018,298 triệu,2018,Máy xăng,Hatchback,Xe cũ,47.000 km,Số tự động,Nhập khẩu,Thuận An - Bình Dương
1118,30/09/2025,Kia Carens SX 2.0 AT 2010,215 triệu,2010,Máy xăng,MPV,Xe cũ,95.000 km,Số tự động,Nhập khẩu,Hà Nội
1119,01/10/2025,Hyundai Creta 1.5L Đặc biệt 2022,590 triệu,2022,Máy xăng,SUV,Xe cũ,54.000 km,Số tự động,Nhập khẩu,Dĩ An - Bình Dương
1120,05/10/2025,Toyota Fortuner TRD 2015,550 triệu,2015,Máy xăng,SUV,Xe cũ,93.000 km,Số tự động,Trong nước,Tp.HCM
1121,30/09/2025,Chevrolet Aveo LT 1.4 MT 2017,165 triệu,2017,Máy xăng,Sedan,Xe cũ,146.000 km,Số sàn,Trong nước,Tp.HCM
1122,29/09/2025,Kia Cerato 2.0 AT Premium 2020,499 triệu,2020,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Nhập khẩu,Đà Nẵng
1123,04/10/2025,Toyota Corolla Altis 2014,344 triệu,2014,Máy xăng,Sedan,Xe cũ,70.000 km,Số tự động,Trong nước,Đà Nẵng
1124,03/10/2025,Toyota Camry 2.4G 2019,650 triệu,2019,Máy xăng,Sedan,Xe cũ,28.330 km,Số sàn,Trong nước,Tây Ninh
1125,30/09/2025,Mazda 3 2020,410 triệu,2020,Máy xăng,N/A,Xe cũ,N/A,Số tự động,N/A,Cần Thơ
1126,03/10/2025,Hyundai Accent 1.4 MT 2014,250 triệu,2014,Máy xăng,Sedan,Xe cũ,120.000 km,Số sàn,Nhập khẩu,Đà Nẵng
1127,28/09/2025,MG 5 LUX 2023,435 triệu,2023,Máy xăng,Sedan,Xe cũ,26.000 km,Số tự động,Nhập khẩu,Tp.HCM
1128,01/10/2025,Toyota Land Cruiser Prado VX 2021,2 tỉ 495 triệu,2021,Máy xăng,SUV,Xe cũ,88.000 km,Số tự động,Nhập khẩu,Đắk Lắk
1129,30/09/2025,Porsche Cayenne Coupe 2020,3 tỉ 680 triệu,2020,Máy xăng,SUV,Xe cũ,45.000 km,Số tự động,Nhập khẩu,Tp.HCM
1130,28/09/2025,Kia K3 1.6 Premium 2022,525 triệu,2022,Máy xăng,Sedan,Xe cũ,58.500 km,Số tự động,Nhập khẩu,Long Biên - Hà Nội
1131,05/10/2025,Hyundai Accent 1.4 AT 2014,265 triệu,2014,Máy xăng,Hatchback,Xe cũ,67.000 km,Số tự động,Nhập khẩu,Bình Dương
1132,01/10/2025,Mazda 3 1.6 AT 2016,330 triệu,2016,Máy xăng,Sedan,Xe cũ,106.000 km,Số tự động,Trong nước,Tp.HCM
1133,28/09/2025,Toyota Vios 1.5 E CVT 2022,400 triệu,2022,Máy xăng,Sedan,Xe cũ,110.000 km,Số tự động,Trong nước,Thanh Hóa
1134,23/09/2025,Honda City RS 2022,465 triệu,2022,Máy xăng,Sedan,Xe cũ,20.000 km,Số tự động,Trong nước,Đông Anh - Hà Nội
1135,04/10/2025,Hyundai Tucson 2.0 Tiêu chuẩn 2019,650 triệu,2019,Máy xăng,SUV,Xe cũ,100.000 km,Số tự động,Trong nước,Thanh Hóa
1136,04/10/2025,Kia Cerato 1.6 MT 2019,370 triệu,2019,Máy xăng,Sedan,Xe cũ,76.000 km,Số sàn,Trong nước,Quảng Nam
1137,02/10/2025,Toyota Innova 2.0G 2010,230 triệu,2010,Máy xăng,MPV,Xe cũ,150.000 km,Số sàn,Trong nước,Tp.HCM
1138,30/09/2025,Kia Carens EX 2.0 MT 2009,190 triệu,2009,Máy xăng,MPV,Xe cũ,200.000 km,Số sàn,Nhập khẩu,Đắk Lắk
1139,23/09/2025,Mitsubishi Xpander 1.5 AT 2019,440 triệu,2019,Máy xăng,MPV,Xe cũ,70.000 km,Số tự động,Nhập khẩu,Đông Anh - Hà Nội
1140,05/10/2025,Subaru Forester 2.0i-S EyeSight 2019,720 triệu,2019,Máy xăng,SUV,Xe cũ,80.000 km,Số tự động,Nhập khẩu,Hà Nội
1141,07/10/2025,Mercedes-Benz GLC 250 4Matic 2018,999 triệu,2018,Máy xăng,SUV,Xe cũ,100.000 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
1142,07/10/2025,Mercedes-Benz E200 E200 2020,1 tỉ 049 triệu,2020,Máy xăng,Sedan,Xe cũ,45.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
1143,03/10/2025,Hyundai Grand i10 Sedan 1.2 MT 2018,225 triệu,2018,Máy xăng,Sedan,Xe cũ,90.000 km,Số sàn,Trong nước,Khánh Hòa
1144,27/09/2025,Ford Everest Titanium 2.0L AT 4WD 2022,1 tỉ 100 triệu,2022,Máy xăng,SUV,Xe cũ,17.000 km,Số tự động,Nhập khẩu,Dương Minh Châu - Tây Ninh
1145,04/10/2025,Kia Optima 2.0 ATH 2016,390 triệu,2016,Máy xăng,Sedan,Xe cũ,8.700 km,Số tự động,Trong nước,Hà Nội
1146,01/10/2025,Toyota Innova 2.0G 2008,198 triệu,2008,Máy xăng,MPV,Xe cũ,134.000 km,Số tự động,Nhập khẩu,Kế Sách - An Giang
1147,23/09/2025,VinFast Fadil Nâng Cao 2020,295 triệu,2020,Máy xăng,Hatchback,Xe cũ,30.000 km,Số tự động,Trong nước,Đông Anh - Hà Nội
1148,10/09/2025,Honda City 1.5 CVT 2014,285 triệu,2014,Máy xăng,Sedan,Xe cũ,120.000 km,Số tự động,Trong nước,Đông Anh - Hà Nội
1149,01/10/2025,Hyundai Accent 1.4 AT 2022,400 triệu,2022,Máy xăng,Sedan,Xe cũ,24.000 km,Số tự động,Nhập khẩu,Đà Nẵng
1150,02/10/2025,Mitsubishi Xpander 1.5 AT 2021,480 triệu,2021,Máy xăng,Crossover,Xe cũ,45.000 km,Số tự động,Nhập khẩu,Bình Dương
1151,02/10/2025,Mitsubishi Xpander 2023,420 triệu,2023,Máy xăng,Crossover,Xe cũ,120 km,Số sàn,Trong nước,Long An
1152,30/09/2025,Hyundai Grand i10 Hatchback 1.2 MT Base 2022,280 triệu,2022,Máy xăng,Hatchback,Xe cũ,N/A,Số sàn,Nhập khẩu,Bình Dương
1153,09/09/2025,Hyundai Accent 1.4 AT Đặc biệt 2022,425 triệu,2022,Máy xăng,Sedan,Xe cũ,40.000 km,Số tự động,Trong nước,Đông Anh - Hà Nội
1154,05/10/2025,Mitsubishi Outlander 2018,493 triệu,2018,Máy xăng,SUV,Xe cũ,70.000 km,Số tự động,N/A,Nghệ An
1155,05/10/2025,Toyota Innova 2.0G 2010,220 triệu,2010,Máy xăng,MPV,Xe cũ,180.000 km,Số tự động,Trong nước,Tp.HCM
1156,27/09/2025,Toyota Vios 1.5E MT 2018,290 triệu,2018,Máy xăng,Sedan,Xe cũ,280.000 km,Số sàn,Nhập khẩu,Tp.HCM
1157,28/09/2025,Mazda 3 2016,350 triệu,2016,Máy xăng,Sedan,Xe cũ,83.000 km,Số tự động,Trong nước,Hà Nội
1158,02/10/2025,Mazda CX-30 2.0L Luxury 2022,570 triệu,2022,Máy xăng,Crossover,Xe cũ,54.000 km,Số tự động,Nhập khẩu,Đồng Nai
1159,02/10/2025,Mitsubishi Xpander 1.5 AT 2018,370 triệu,2018,Máy xăng,MPV,Xe cũ,145.121 km,Số tự động,Nhập khẩu,Tp.HCM
1160,29/09/2025,Toyota Vios 2015,250 triệu,2015,Máy xăng,N/A,Xe cũ,N/A,Số sàn,Nhập khẩu,Bà Rịa Vũng Tàu
1161,25/09/2025,MG ZS 1.5 2WD Luxury 2021,435 triệu,2021,Máy xăng,SUV,Xe cũ,60.000 km,Số tự động,Trong nước,Kiến An - Hải Phòng
1162,25/09/2025,BMW X4 xDrive20i Msport 2020,1 tỉ 750 triệu,2020,Máy xăng,SUV,Xe cũ,40.000 km,Số tự động,Nhập khẩu,Kiến An - Hải Phòng
1163,22/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2021,525 triệu,2021,Máy xăng,Sedan,Xe cũ,60.000 km,Số tự động,Trong nước,Kiến An - Hải Phòng
1164,17/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2021,535 triệu,2021,Máy xăng,Sedan,Xe cũ,40.000 km,Số tự động,Trong nước,Kiến An - Hải Phòng
1165,03/10/2025,Mitsubishi Xpander Cross 1.5 AT 2023,640 triệu,2023,Máy xăng,SUV,Xe cũ,30.000 km,Số tự động,Trong nước,Kiến An - Hải Phòng
1166,03/10/2025,Toyota Camry 2.0Q 2022,985 triệu,2022,Máy xăng,Sedan,Xe cũ,40.000 km,Số tự động,Trong nước,Kiến An - Hải Phòng
1167,17/09/2025,Mitsubishi Outlander 2.0 CVT 2020,595 triệu,2020,Máy xăng,SUV,Xe cũ,71.000 km,Số tự động,Trong nước,Kiến An - Hải Phòng
1168,06/10/2025,Toyota Yaris 1.5G 2020,485 triệu,2020,Máy xăng,Hatchback,Xe cũ,80.000 km,Số tự động,Nhập khẩu,Kiến An - Hải Phòng
1169,03/10/2025,Lexus NX 200T 2015,990 triệu,2015,Máy xăng,SUV,Xe cũ,98.000 km,Số tự động,Nhập khẩu,Kiến An - Hải Phòng
1170,10/09/2025,Kia Cerato 1.6 AT Deluxe 2020,455 triệu,2020,Máy xăng,Sedan,Xe cũ,65.000 km,Số tự động,Trong nước,Kiến An - Hải Phòng
1171,27/09/2025,Mazda CX-5 2.0 Deluxe 2023,720 triệu,2023,Máy xăng,SUV,Xe cũ,13.000 km,Số tự động,Trong nước,Kiến An - Hải Phòng
1172,10/09/2025,Mazda 2 Sport 1.5L Premium 2021,455 triệu,2021,Máy xăng,Sport Car,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Kiến An - Hải Phòng
1173,29/09/2025,Toyota Innova 2.0G 2006,155 triệu,2006,Máy xăng,MPV,Xe cũ,357.000 km,Số tự động,Trong nước,Bình Dương
1174,07/10/2025,Mercedes-Benz C180 AMG 2021,860 triệu,2021,Máy xăng,Sedan,Xe cũ,40.000 km,Số tự động,Trong nước,Hà Nội
1175,02/10/2025,Mazda 3 2005,125 triệu,2005,Máy xăng,Sedan,Xe cũ,177.800 km,Số tự động,Trong nước,Kiên Giang
1176,03/10/2025,Mazda 6 2.0 AT 2016,360 triệu,2016,Máy xăng,Sedan,Xe cũ,143.000 km,Số tự động,Nhập khẩu,Tp.HCM
1177,02/10/2025,Ford Fiesta Sport 1.5L AT 2017,260 triệu,2017,Máy xăng,Hatchback,Xe cũ,160.000 km,Số tự động,Trong nước,Đà Nẵng
1178,01/10/2025,Peugeot 3008 GT 2022,830 triệu,2022,Máy xăng,SUV,Xe cũ,13.000 km,Số tự động,Trong nước,Tp.HCM
1179,07/10/2025,Mercedes-Benz GLC 250 4Matic 2018,839 triệu,2018,Máy xăng,SUV,Xe cũ,1.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
1180,01/10/2025,VinFast LUX A2.0 Tiêu chuẩn 2021,560 triệu,2021,Máy xăng,Sedan,Xe cũ,36.800 km,Số tự động,Trong nước,Hà Nội
1181,18/09/2025,Mazda 2 Sport 1.5L Premium 2016,330 triệu,2016,Máy xăng,Hatchback,Xe cũ,70.000 km,Số tự động,Trong nước,Thanh Xuân - Hà Nội
1182,01/10/2025,Volkswagen Viloran Luxury 2023,1 tỉ 850 triệu,2023,Máy xăng,MPV,Xe cũ,11.000 km,Số tự động,Nhập khẩu,Biên Hòa - Đồng Nai
1183,28/09/2025,Mitsubishi Xpander 1.5 AT 2019,445 triệu,2019,Máy xăng,MPV,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM
1184,04/10/2025,Toyota Vios 2013,175 triệu,2013,Máy xăng,Sedan,Xe cũ,N/A,Số sàn,N/A,Hải Dương
1185,09/09/2025,Mitsubishi Xpander 1.5 AT 2019,430 triệu,2019,Máy xăng,MPV,Xe cũ,60.000 km,Số tự động,Trong nước,Đông Anh - Hà Nội
1186,03/10/2025,Hyundai Accent 1.4 AT 2022,385 triệu,2022,Máy xăng,Sedan,Xe cũ,57.000 km,Số tự động,Trong nước,Bến Tre
1187,30/09/2025,Hyundai Tucson 2021,725 triệu,2021,Máy xăng,SUV,Xe cũ,N/A,Số tự động,N/A,Hà Nội
1188,04/10/2025,Kia Sportage 2.0G Luxury 2022,730 triệu,2022,Máy xăng,SUV,Xe cũ,14.000 km,Số tự động,Trong nước,Hải Phòng
1189,05/10/2025,Hyundai Accent 1.4 MT Tiêu chuẩn 2022,440 triệu,2022,Máy xăng,Sedan,Xe cũ,20.000 km,Số tự động,Trong nước,Tp.HCM
1190,28/09/2025,Toyota Vios 2022,420 triệu,2022,Máy xăng,Sedan,Xe cũ,N/A,Số tự động,N/A,Hà Nội
1191,07/10/2025,Audi Q5 2021,1 tỉ 799 triệu,2021,Máy xăng,SUV,Xe cũ,14.500 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
1192,07/10/2025,Mercedes-Benz C300 AMG 2021,1 tỉ 469 triệu,2021,Máy xăng,Sedan,Xe cũ,9.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
1193,03/10/2025,Toyota Vios 1.5E MT 2023,350 triệu,2023,Máy xăng,Sedan,Xe cũ,124.000 km,Số sàn,Trong nước,Quảng Ngãi
1194,29/09/2025,VinFast LUX A2.0 Cao cấp 2020,540 triệu,2020,Máy xăng,Sedan,Xe cũ,N/A,Số tự động,Trong nước,Hưng Yên
1195,15/09/2025,Isuzu NQR 550 2023,805 triệu,2023,Máy dầu,Xe tải,Xe cũ,30.000 km,Số sàn,Trong nước,Đông Anh - Hà Nội
1196,07/10/2025,Kia Cerato 1.6 AT Premium 2017,355 triệu,2017,Máy xăng,Sedan,Xe cũ,98.000 km,Số tự động,Trong nước,Đắk Lắk
1197,03/10/2025,Chevrolet Cruze LTZ 2017,210 triệu,2017,Máy xăng,Sedan,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Tp.HCM
1198,27/09/2025,VinFast LUX A2.0 Tiêu chuẩn 2022,540 triệu,2022,Máy xăng,Sedan,Xe cũ,30.000 km,Số tự động,Nhập khẩu,Lâm Đồng
1199,05/10/2025,Mercedes-Benz GLC 300 4Matic 2018,1 tỉ 179 triệu,2018,Máy xăng,SUV,Xe cũ,103.000 km,Số tự động,Nhập khẩu,Tp.HCM
1200,30/09/2025,Hyundai Tucson 2010,250 triệu,2010,Máy xăng,SUV,Xe cũ,15.000 km,Số tự động,Nhập khẩu,Đắk Lắk
1201,07/10/2025,Mercedes-Benz E200 Exclusive V1 2023,1 tỉ 858 triệu,2023,Máy xăng,Sedan,Xe cũ,1.600 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
1202,27/09/2025,Ford Escape 3.0 v6 2004,110 triệu,2004,Máy xăng,SUV,Xe cũ,182.000 km,Số tự động,Nhập khẩu,Đồng Nai
1203,07/10/2025,Toyota Innova 2.0G 2014,268 triệu,2014,Máy xăng,SUV,Xe cũ,65.000 km,Số tự động,Trong nước,Tp.HCM
1204,27/09/2025,Kia Sportage 2.0D Signature 2022,830 triệu,2022,Máy dầu,SUV,Xe cũ,23.000 km,Số tự động,Trong nước,Tây Hồ - Hà Nội
1205,03/10/2025,Hyundai Accent 1.4 MT 2018,285 triệu,2018,Máy xăng,Sedan,Xe cũ,103.117 km,Số sàn,Nhập khẩu,Tp.HCM
1206,01/10/2025,Toyota Innova 2.0E 2019,430 triệu,2019,Máy xăng,MPV,Xe cũ,140.000 km,Số tự động,Trong nước,Tp.HCM
1207,04/10/2025,Subaru Forester 2.0i-L 2022,650 triệu,2022,Máy xăng,SUV,Xe cũ,34.000 km,Số tự động,Nhập khẩu,Tp.HCM
1208,03/10/2025,Mazda 6 2016,399 triệu,2016,Máy xăng,Sedan,Xe cũ,98.638 km,Số tự động,Nhập khẩu,Tp.HCM
1209,29/09/2025,Honda Civic 1.5 Turbo RS 2022,720 triệu,2022,Máy xăng,Sedan,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Tiền Giang
1210,01/10/2025,Ford Fiesta Titanium 1.0 AT EcoBoost 2016,280 triệu,2016,Máy xăng,Hatchback,Xe cũ,102.000 km,Số tự động,Nhập khẩu,Phú Thọ
1211,30/09/2025,Toyota Corolla Cross 1.8 G 2022,690 triệu,2022,Máy xăng,SUV,Xe cũ,13.000 km,Số tự động,Nhập khẩu,Đồng Nai
1212,02/10/2025,Kia Seltos 1.4 Luxury 2020,490 triệu,2020,Máy xăng,SUV,Xe cũ,62.000 km,Số tự động,Nhập khẩu,Dĩ An - Bình Dương
1213,28/09/2025,Mazda 3 1.6 AT 2018,442 triệu,2018,Máy xăng,Sedan,Xe cũ,31.000 km,Số tự động,Trong nước,Nam Định
1214,02/10/2025,Toyota Fortuner 2014,500 triệu,2014,Máy dầu,SUV,Xe cũ,126.000 km,Số sàn,Nhập khẩu,Hoàn Kiếm - Hà Nội
1215,28/09/2025,Toyota Corolla Altis 1.8G CVT 2016,410 triệu,2016,Máy xăng,Sedan,Xe cũ,110.000 km,Số tự động,Nhập khẩu,Hà Nội
1216,03/10/2025,Honda CR-V 2.4L TG 2016,520 triệu,2016,Máy xăng,SUV,Xe cũ,113.940 km,Số tự động,Trong nước,Hà Nội
1217,30/09/2025,Suzuki XL7 1.5L 2022,465 triệu,2022,Máy xăng,SUV,Xe cũ,43.000 km,Số tự động,Nhập khẩu,Hà Nội
1218,04/10/2025,Hyundai Grand i10 Sedan 1.2 MT 2021,265 triệu,2021,Máy xăng,Sedan,Xe cũ,16.000 km,Số sàn,Nhập khẩu,Tp.HCM
1219,02/10/2025,Ford Ranger Wildtrak 2.2 4x2 AT 2015,300 triệu,2015,Máy dầu,Bán tải,Xe cũ,170.000 km,Số tự động,Nhập khẩu,Hải Dương
1220,29/09/2025,Kia Seltos 1.4T Premium 2020,520 triệu,2020,Máy xăng,SUV,Xe cũ,68.000 km,Số tự động,Trong nước,Hà Nội
1221,05/10/2025,Honda CR-V 1.5 L 2022,905 triệu,2022,Máy xăng,SUV,Xe cũ,10.000 km,Số tự động,Nhập khẩu,Tp.HCM
1222,03/10/2025,Kia Morning 2009,137 triệu,2009,Máy xăng,Hatchback,Xe cũ,105.000 km,Số sàn,Nhập khẩu,Tp.HCM
1223,02/10/2025,Chevrolet Spark 2017,115 triệu,2017,Máy xăng,Hatchback,Xe cũ,80.000 km,Số sàn,Trong nước,Nghệ An
1224,04/10/2025,Honda Brio RS 2020,355 triệu,2020,Máy xăng,Hatchback,Xe cũ,39.568 km,Số tự động,Nhập khẩu,Đà Nẵng
1225,07/10/2025,Mitsubishi Xpander AT Premium 2024,568 triệu,2024,Máy xăng,Crossover,Xe cũ,25.000 km,Số tự động,Nhập khẩu,Đà Nẵng
1226,02/10/2025,Kia Cerato 1.6 AT Luxury 2018,410 triệu,2018,Máy xăng,Sedan,Xe cũ,93.000 km,Số tự động,Trong nước,Tp.HCM
1227,04/10/2025,Toyota Vios 2018,235 triệu,2018,Máy xăng,Sedan,Xe cũ,127.000 km,Số sàn,Trong nước,Tp.HCM
1228,07/10/2025,Hyundai Accent 1.4 AT 2022,380 triệu,2022,Máy xăng,Sedan,Xe cũ,70.000 km,Số tự động,Trong nước,Bình Dương
1229,29/09/2025,Ford Focus 1.5L EcoBoost Sport 2018,476 triệu,2018,Máy xăng,Hatchback,Xe cũ,70.000 km,Số tự động,Nhập khẩu,Tân Phú - Tp.HCM
1230,07/10/2025,Kia Carnival 2.2D Premium 2021,1 tỉ 060 triệu,2021,Máy dầu,MPV,Xe cũ,39.000 km,Số tự động,Trong nước,Tp.HCM
1231,03/10/2025,Kia K5 2.0 Luxury 2022,750 triệu,2022,Máy xăng,Sedan,Xe cũ,20.000 km,Số tự động,Nhập khẩu,Bạc Liêu
1232,23/09/2025,Toyota Alphard Executive Lounge 2019,2 tỉ 999 triệu,2019,Máy xăng,MPV,Xe cũ,82.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM
1233,07/10/2025,Toyota Corolla Cross 1.8 V 2024,820 triệu,2024,Máy xăng,SUV,Xe cũ,11.000 km,Số tự động,Nhập khẩu,Tp.HCM
1234,07/10/2025,Honda City RS 2021,428 triệu,2021,Máy xăng,Sedan,Xe cũ,48.000 km,Số tự động,Trong nước,Tp.HCM
1235,07/10/2025,Mitsubishi Xforce Ultimate 2024,640 triệu,2024,Máy xăng,SUV,Xe cũ,39.000 km,Số tự động,Nhập khẩu,Tp.HCM
1236,07/10/2025,Ford Everest Sport 2.0 AT 4x2 2024,1 tỉ 125 triệu,2024,Máy xăng,SUV,Xe cũ,22.000 km,Số tự động,Nhập khẩu,Tp.HCM
1237,07/10/2025,Mercedes-Benz GLE 400 4Matic Coupe 2016,1 tỉ 300 triệu,2016,Máy xăng,SUV,Xe cũ,86.000 km,Số tự động,Nhập khẩu,Tp.HCM
1238,07/10/2025,BMW X4 xDrive20i Msport 2020,1 tỉ 790 triệu,2020,Máy xăng,SUV,Xe cũ,70.000 km,Số tự động,Nhập khẩu,Tp.HCM
1239,07/10/2025,BMW 320i 2011,290 triệu,2011,Máy xăng,Sedan,Xe cũ,01 km,Số tự động,Nhập khẩu,Đồng Nai
1240,07/10/2025,Peugeot 508 2015,375 triệu,2015,Máy xăng,Sedan,Xe cũ,N/A,Số tự động,Nhập khẩu,Đà Nẵng
1241,07/10/2025,Toyota Innova 2.0G 2019,430 triệu,2019,Máy xăng,MPV,Xe cũ,90.000 km,Số tự động,Trong nước,Đồng Tháp
1242,07/10/2025,Mitsubishi Xpander Cross 1.5 AT 2020,480 triệu,2020,Máy xăng,Crossover,Xe cũ,01 km,Số tự động,Nhập khẩu,Đồng Nai
1243,07/10/2025,Toyota Corolla Cross 1.8 V 2025,810 triệu,2025,Máy xăng,SUV,Xe cũ,2.000 km,Số tự động,Nhập khẩu,Nghệ An
1244,01/10/2025,Mercedes-Benz S450 4Matic Luxury 2022,4 tỉ 100 triệu,2022,Máy xăng,Sedan,Xe cũ,15.500 km,Số tự động,Nhập khẩu,Tây Ninh
1245,07/10/2025,Toyota Fortuner 2.8V 4X4 AT 2018,855 triệu,2018,Máy dầu,SUV,Xe cũ,01 km,Số tự động,Nhập khẩu,Vinh - Nghệ An
1246,07/10/2025,VinFast Fadil Tiêu Chuẩn 2019,270 triệu,2019,Máy xăng,Hatchback,Xe cũ,01 km,Số tự động,Nhập khẩu,Nghệ An
1247,07/10/2025,Toyota Vios 1.5E MT 2023,345 triệu,2023,Máy xăng,Sedan,Xe cũ,50.000 km,Số sàn,Nhập khẩu,Nghệ An
1248,07/10/2025,Toyota Innova 2.0E 2020,498 triệu,2020,Máy xăng,MPV,Xe cũ,70.000 km,Số tự động,Nhập khẩu,Plei Ku - Gia Lai
1249,07/10/2025,Hyundai Elantra 1.6 AT 2024,579 triệu,2024,Máy xăng,Sedan,Xe cũ,31.000 km,Số tự động,Trong nước,Bình Phước
1250,27/09/2025,Suzuki XL7 Sport Limited 2022,450 triệu,2022,Máy xăng,SUV,Xe cũ,68.000 km,Số tự động,Nhập khẩu,Bắc Ninh
1251,07/10/2025,Toyota Fortuner 2.5G 4x2 MT 2017,655 triệu,2017,Máy xăng,SUV,Xe cũ,01 km,Số sàn,Nhập khẩu,Nghệ An
1252,07/10/2025,Mazda CX-8 Premium AWD 2020,759 triệu,2020,Máy xăng,SUV,Xe cũ,70.000 km,Số tự động,Trong nước,Tp.HCM
1253,07/10/2025,Mercedes-Benz GLC 200 V1 2023,1 tỉ 879 triệu,2023,Máy xăng,N/A,Xe cũ,N/A,Số tự động,N/A,Hà Nội
1254,30/09/2025,Ford Ranger Wildtrak 2.0L 4x4 AT 2023,850 triệu,2023,Máy xăng,Bán tải,Xe cũ,7.800 km,Số tự động,Nhập khẩu,Tp.HCM
1255,07/10/2025,Mercedes-Benz Sprinter 2007,115 triệu,2007,Máy dầu,Van/Minivan,Xe cũ,65.000 km,Số sàn,Nhập khẩu,Tp.HCM
1256,28/09/2025,Toyota Innova 2.0E 2018,450 triệu,2018,Máy xăng,MPV,Xe cũ,110.000 km,Số sàn,Trong nước,Lục Yên - Lào Cai
1257,27/09/2025,Hyundai Grand i10 1.0 AT 2015,128.6 triệu,2015,Máy xăng,Hatchback,Xe cũ,90.000 km,Số tự động,Nhập khẩu,Hà Đông - Hà Nội
1258,07/10/2025,BMW 320i 2024,1 tỉ 489 triệu,2024,Máy xăng,N/A,Xe cũ,6.000 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
1259,05/10/2025,Toyota Vios G 2022,450 triệu,2022,Máy xăng,Sedan,Xe cũ,40.000 km,Số tự động,Trong nước,Bắc Ninh
1260,01/10/2025,Nissan Teana 2.0 AT 2010,265 triệu,2010,Máy xăng,Sedan,Xe cũ,125.000 km,Số tự động,Nhập khẩu,Hà Nội
1261,07/10/2025,Mercedes-Benz GLC 200 2022,1 tỉ 250 triệu,2022,Máy xăng,N/A,Xe cũ,45.678 km,Số tự động,Trong nước,Quận 7 - Tp.HCM
1262,02/10/2025,Mitsubishi Mirage 1.2 CVT 2013,170 triệu,2013,Máy xăng,Hatchback,Xe cũ,67.000 km,Số tự động,Nhập khẩu,Hà Nội
